Card Name,Website Name,Source,Card Type,Compatibility,Count,Persuasion Cost,Specimen Cost,Acquisition Bonus,Passive Ability,Green Access,Purple Access,Yellow Access,Emperor Access,Spacing Guild Access,Bene Gesserit Access,Fremen Access,Spy Access,Tech,Shipping,Unload,Infiltration,Research,Grafting,Spies,Sandworms,Contracts,Battle Icons,Sardaukar,Agent Ability,Reveal Persuasion,Reveal Swords,Reveal Ability,Emperor Affiliation,Spacing Guild Affiliation,Bene Gesserit Affiliation,Fremen Affiliation,VPs Available,Count in Merakon's House Blend
Corrinth City,,Uprising,Imperium,All,1,6,,,,X,,,X,,,,,,,,,,,,,,,,Discard two cards and pay 5 Solari -> +1 Victory Point,,,"5 Solari OR
Pay 5 Solari -> Take your seat on the High Council (if you haven't already)",X,,,,9,1
Covert Operation,,Uprising,Imperium,Uprising,1,3,,,,,,,,,,,X,,,,,,,X,,,,,Each opponent discards a card.,,,+2 Spies,,,,,,1
Dangerous Rhetoric,,Uprising,Imperium,Uprising,1,3,,,,X,,,,,,,X,,,,,,,,,,,,1 Influence with a Faction. Trash this card.,1,1,,,,,,,1
Desert Power,,Uprising,Imperium,Uprising,1,6,,,,,,X,,,,,,,,,,,,,X,,,,If you sent an Agent to a Maker board space this turn: +2 Spice,,,+2 Persuasion OR With Maker Hooks: 1 Water -> 1 Sandworm,,,,X,,1
Desert Survival,,Uprising,Imperium,All,2,2,,,,,,X,,,,,,,,,,,,,,,,,Trash a card,1,1,,,,,X,,1
Double Agent,,Uprising,Imperium,Uprising,2,3,,,,X,X,X,,,,,,,,,,,,X,,,,,+1 Spy on the board space your sent an Agent to this turn. You may place this Spy ont he same observation post as another player's Spy.,1,1,,,,,,,2
Ecological Testing Station,,Uprising,Imperium,All,1,3,,,,,X,,,,,X,,,,,,,,,,,,,2 Water -> Draw 2 cards,1,,Fremen Bond: +1 Water,,,,X,,1
Fedaykin Stilltent,,Uprising,Imperium,Uprising,1,2,,,,,,X,,,,,,,,,,,,,,,,,If you sent an Agent to a Maker board space  this turn: Get 1 Troop.,,,+1 Water,,,,X,,1
Guild Envoy,,Uprising,Imperium,All,1,3,,,,,,,X,X,X,X,,,,,,,,,,,,,Discard a card. If you discarded a Spacing Guild card: Draw 2 cards,1,,,,X,,,,1
Guild Spy,,Uprising,Imperium,Uprising,1,3,,+1 Spy,,,,,,,,,X,,,,,,,X,,,,,Discard 1 card -> Draw 1 card. If you discarded a Spacing Guild card: +1 Intrigue card,2,,"If you acquire The Spice Must Flow this turn, gain one influence with each Faction you are spying on.",,,,,,1
Hidden Missive,,Uprising,Imperium,All,1,2,,,,X,,,,,,,,,,,,,,,,,,,2 Influence with Bene Gesserit: Get 1 Troop & Draw a card.,1,1,,,,X,,,1
Imperial Spymaster,,Uprising,Imperium,Uprising,1,2,,,,,,,X,,,,X,,,,,,,X,,,,,If you recalled a Spy this turn: Get 1 Intrigue Card.,1,1,,X,,,,,1
In High Places,,Uprising,Imperium,Uprising,1,5,,+1 Spy,,,,,X,,X,,,,,,,,,X,,,,,"If you have another Bene Gesserit card in play: Draw 1 card, +1 Spy",2,,Recall 2 Spies -> +3 Persuasion,X,,X,,,1
Junction Headquarters,Junction Headquaters,Uprising,Imperium,All,1,6,,,,X,X,X,,,,,,,,,,,,,,,,,"With 2 Spacing Guild Influence: 
Trash an intrigue card and spend two spice to gain one Victory Point",1,,"+1 Water, +1 Troop",,X,,,9,1
Leadership,,Uprising,Imperium,Uprising,1,5,,,,,,X,,,,X,,,,,,,,,X,,,,For each Sandworm you have in the conflict: Draw a card.,2,1,+1 Sword for each revealed card that provides one or more Swords this turn.,,,,X,,1
Long Live the Fighters,,Uprising,Imperium,All,1,7,,,,,X,,,,,X,,,,,,,,,,,,,"If your deck has three or more cards, look at the top three cards. Draw one, discard one, and trash one.",2,3,,,,,X,,1
Maker Keeper,,Uprising,Imperium,All,2,2,,,,,X,,,,,,,,,,,,,,,,,,"2 Influence with Bene Gesserit: +1 Water
2 Influence with Fremen: +1 Spice",2,,,,,X,X,,1
Maula Pistol,,Uprising,Imperium,All,2,3,,,,,X,X,,,,,,,,,,,,,,,,,Draw a card,1,1,,,,,X,,1
Northern Watermaster,,Uprising,Imperium,All,1,3,,,,,X,,,,,,,,,,,,,,,,,,+1 Water,1,,Fremen Bond: +2 Spice,,,,X,,1
Overthrow,,Uprising,Imperium,All,1,8,,+1 Intrigue card,,,,,X,X,X,X,,,,,,,,,,,,,Gain two influence instead of one.,2,2,+1 Troop,,,,,,1
Paracompass,,Uprising,Imperium,All,1,4,,,,,X,,,,,,,,,,,,,,,,,,+2 Solari,,,"If you have a seat on the High Council: +2 Persuasion
If you ALSO have a Swordmaster: +1 Persuasion",,,,,,1
Price is No Object,,Uprising,Imperium,All,1,6,,+2 Solari,,,,,X,,X,,,,,,,,,,,,,,You may acquire a card to your hand using Solari instead of Persuasion.,2,,+2 Solari,X,,X,,,1
Public Spectacle,,Uprising,Imperium,Uprising,2,4,,,,,,,,,,,X,,,,,,,X,,,,,If you recalled a Spy this turn: +1 Influence with a Faction,1,,+1 Spy,X,,,,,2
Rebel Supplier,,Uprising,Imperium,Uprising,2,3,,,,,X,,,,,,,,,,,,,X,,,,,If you recalled a Spy this turn: +2 Troops,,1,+1 Spice,,,,X,,2
Reliable Informant,,Uprising,Imperium,Uprising,1,2,,,,,,,,,,,,,,,,,,X,,,,,Deploy a Spy on Emperor/Bene Gesserit/Fremen Observation Post,1,,+1 Solari,,X,,,,1
Sardaukar Coordination,,Uprising,Imperium,All,2,4,,,,X,,,X,,,,,,,,,,,,,,,,You may deploy any troops you recruit this turn to the conflict.,,1,+1 Sword for each Emperor card you revealed (including this one).,X,,,,,2
Sardaukar Soldier,,Uprising,Imperium,All,1,1,,,,,X,,,,,,,,,,,,,,,,,,When this card is trashed: Get 1 Intrigue Card,1,1,,X,,,,,1
Shishakli,,Uprising,Imperium,All,1,4,,,,,X,X,,,,,,,,,,,,,,,,,Trash a card -> Draw a card,,2,Fremen Bond: +1 Fremen Influence,,,,X,,1
Smuggler's Harvester,,Uprising,Imperium,All,2,1,,,,,,X,,,,,,,,,,,,,,,,,If you sent an Agent to a Maker board space  this turn: Get 1 Spice,1,,,,X,,,,2
Smuggler's Haven,,Uprising,Imperium,Uprising,1,4,,,,,,X,,X,,,,,,,,,,,,,,,4 Spice -> 1 Victory Point,1,,If you are occupying a Maker board space: +2 Spice,,X,,,1,1
Southern Elders,,Uprising,Imperium,All,1,4,,,,,,,,,X,X,,,,,,,,,,,,,If you have another Bene Gesserit card in play: +2 Troops,,,"+1 Water
Fremen Bond: +2 Persuasion",,,X,X,,1
Space-Time Folding,,Uprising,Imperium,All,1,1,,,,,,,,X,,,,,,,,,,,,,,,"Discard a card -> Draw a card.
If you discarded a Spacing Guild card: Draw a card.",1,,,,X,,,,1
Spacing Guild's Favor,,Uprising,Imperium,All,2,5,,,When this card is discarded: +2 Spice,,,,,,,,,,,,,,,,,,,,Draw 1 card,2,,Spend 3 Spice to gain 1 influence with any faction.,,,,,,2
Spy Network,,Uprising,Imperium,Uprising,1,2,,+1 Spy,,,,,,,,,,,,,,,,X,,,,,,2,1,If you have two or more Spies on the board: Recall a Spy -> Get an Intrigue card.,X,X,,,,1
Steersman,,Uprising,Imperium,All,1,8,,+1 Influence with Spacing Guild,,X,X,X,,X,,,,,,,,,,,,,,,"Draw a Card, Recall an Agent",2,,+2 Spice,,X,,,,1
"Stilgar, The Devoted",,Uprising,Imperium,All,1,6,,,,,X,X,,,,X,,,,,,,,,,,,,+2 Troops,2,,+2 Persuasion for each Fremen card you have in play (including this one). ,,,,X,,1
Strike Fleet,,Uprising,Imperium,Uprising,1,5,,+1 Spy,,,,,,,,,X,,,,,,,X,,,,,If you recalled a Spy this turn: +3 Troops,1,3,,,,,,,1
Subversive Advisor,,Uprising,Imperium,Uprising,1,5,,+1 Spy,,,,,,,,,X,,,,,,,,,,,,"If you sent an Agent to a Faction board space this turn, gain two Influence instead of one and trash this card.",1,,,,,,,,1
Treacherous Maneuver,Theacherous Maneuver,Uprising,Imperium,All,1,5,,,,,,,X,X,X,X,,,,,,,,,,,,,Trash this card and an Emperor card from your hand -> Gain two Influence instead of one.,1,,+1 Intrigue card,X,,,,,1
Tread in Darkness,,Uprising,Imperium,All,2,4,,,,X,X,X,,,,,,,,,,,,,,,,,"If you have another Bene Gesserit card in play: Trash a card, Draw a card",2,1,,,,X,,,1
Truthtrance,,Uprising,Imperium,All,2,4,,,,,,,X,X,X,X,,,,,,,,,,,,,,1,,,,,X,,,2
Undercover Asset,,Uprising,Imperium,Uprising,1,2,,,,X,X,X,,,,,X,,,,,,,X,,,,,Ignore Influence requirements on board spaces when sending an Agent this turn.,,,+1 Spy or +2 Daggers,X,X,,,,1
Unswerving Loyalty,,Uprising,Imperium,All,2,1,,,,,,,,,,,,,,,,,,,,,,,,1,,"+1 Troop
Fremen Bond: You may deploy or retreat one of your troops.",,,,X,,2
Weirding Woman,,Uprising,Imperium,All,2,1,,,,,X,X,,,,,,,,,,,,,,,,,"If you have another Bene Gesserit card in play, return this card from play to your hand.",1,1,,,,X,,,1
Wheels within Wheels,,Uprising,Imperium,Uprising,1,2,,,,,,,,,,,X,,,,,,,X,,,,,"With 2 Influence with Emperor: +2 Solari
With 2 Influence with Spacing Guild: +1 Spice",1,,+1 Spy,X,X,,,,1
Twisted Mentat,,Immortality,Tleilaxu,,1,,4,,X,X,,,,,,,,,,,,X,,,,,You may recall the Agent you sent this turn.,1,1,+1 Specimen,,,,,,,,
Usurp,,Immortality,Tleilaxu,,1,,4,,,,,,,,,,,,,,,X,,,,,"You may graft this to a card in the Imperium Row without acquiring it. If you do, trash that card at the end of the turn.",1,1,+1 Specimen,,,,,,,,
Beguiling Pheromones,,Immortality,Tleilaxu,,1,,3,,,X,X,,,,,,,,,,,X,,,,,"If you sent an Agent to a Faction board space this turn, trash of of the grafted cards and gain an additional Influence with that Faction.",1,1,,,,,,,,,
Ghola,,Immortality,Tleilaxu,,1,,3,,,X,,,,,,,,,,,,X,,,,,This card has the same Agent box as the other grafted card.,1,1,,,,,,,,,
Scientific Breakthrough,,Immortality,Tleilaxu,,1,,3,,X,X,X,,,,,,,,,,X,,,,,,+1 Research. If at 2 DNA: Trash this card -> +1 Victory Point,,,,,,,,1,,,
Stitched Horror,,Immortality,Tleilaxu,,1,,3,,,X,,,,,,,,,,,X,X,,,,,"Choose two: +1 Water, +1 Troop, Trash a card, +1 Beetle",1,1,,,,,,,,,
Unnatural Reflexes,,Immortality,Tleilaxu,,1,,3,,,,X,,,,,,,,,,X,X,,,,,If at 1 DNA: Draw 2 cards,1,1,,,,,,,,,
"Piter, Genius Advisor",,Promo,Tleilaxu,,1,,3,,X,,X,,,,,,,,,,X,,,,,,"Lose a troop -> Draw 2 cards, +1 Research",1,1,,,,,,,,,
Face Dancer,,Immortality,Tleilaxu,,1,,2,,,,,X,X,,X,,,,,,,X,,,,,Draw a card,1,,,X,X,,X,,,,
From the Tanks,,Immortality,Tleilaxu,,1,,2,,X,,,,,,,,,,,,,,,,,,+1 Troops,1,,,,,,,,,,
Guild Impersonator,,Immortality,Tleilaxu,,1,,2,,,,,,X,,,,,,,,,X,,,,,If you gain spice this turn: +1 Influence with Spacing Guild,1,,,,X,,,,,,
Slig Farmer,,Immortality,Tleilaxu,,1,,2,,X,,,,,,,,,,,,X,X,,,,,+1 Solari for each Agent icon on the other grafted card. 5 Solari -> 1 Beetle,,,,,,,,,,,
Subject X-137,,Immortality,Tleilaxu,,1,,2,+1 Beetle,X,,X,,,,,,,,,,X,,,,,,"If at 1 DNA, +1 Beetle",1,,,,,,,,,,
Tleilaxu Infiltrator,,Immortality,Tleilaxu,,1,,2,,,X,,,,,,,,,,X,X,X,,,,,Enemy agents don't block your agent this turn. Draw a card AND If at 2 DNA: +1 Intrigue card,1,,,,,,,,,,
Chairdog,,Immortality,Tleilaxu,,1,,1,,,X,,,,,,,,,,,,X,,,,,"At the start of your Reveal turn, return the other grafted card from play to your hand.",1,,,,,,,,,,
Contaminator,,Immortality,Tleilaxu,,1,,1,,,,,,,,X,,,,,,X,,,,,,+1 Beetle,1,,,,,,X,,,,
Corrino Genes,,Immortality,Tleilaxu,,1,,1,+2 Solari,,,,X,,,,,,,,,X,,,,,,If grafted: +1 Beetle,1,,,X,,,,,,,
Face Dancer Initiate,,Immortality,Tleilaxu,,1,,1,,,,,X,X,,X,,,,,,,X,,,,,,1,,,X,X,,X,,,,
Industrial Espionage,,Immortality,Tleilaxu,,1,,1,,X,,,,,,,,,,,,,X,,,,,"Draw a card. If grafted, '+1 Research and +1 Specimen",1,,,,,,,,,,
Troop Transports,,Rise of Ix,Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaumurky,,Rise of Ix,Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Restricted Ordnance,,Rise of Ix,Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Detonation Devices,,Rise of Ix,Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holoprojectors,,Rise of Ix,Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Invasion Ships,,Rise of Ix,Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shuttle Fleet,,Rise of Ix,Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Disposal Facility,,Rise of Ix,Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spaceport,,Rise of Ix,Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Windtraps,,Rise of Ix,Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holtzman Engine,,Rise of Ix,Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Artillery,,Rise of Ix,Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonic Snoopers,,Rise of Ix,Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Training Drones,,Rise of Ix,Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flagship,,Rise of Ix,Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Minimic Film,,Rise of Ix,Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Memocorders,,Rise of Ix,Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spy Satellites,,Rise of Ix,Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Training Depot,,Bloodlines,Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gene-Locked Vault,,Bloodlines,Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glowglobes,,Bloodlines,Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Planetary Array,,Bloodlines,Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Servo-Receivers,,Bloodlines,Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Delivery Bay,,Bloodlines,Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plasteel Blades,,Bloodlines,Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suspensor Suits,,Bloodlines,Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rapid Dropships,,Bloodlines,Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Self-Destroying Messages,,Bloodlines,Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Navigation Chamber,,Bloodlines,Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sardaukar High Command,,Bloodlines,Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forbidden Weapons,,Bloodlines,Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Advanced Data Analysis,,Bloodlines,Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ornithopter Fleet,,Bloodlines,Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panopticon,,Bloodlines,Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spy Drones,,Bloodlines,Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHOAM Transports,,Bloodlines,Tech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duke Leto Atreides,Dune Leto Atreides,Base,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Paul Atreides 
",,Base,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muad'Dib,,Uprising,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gurney Halleck,,Uprising,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lady Jessica,,Uprising,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaddam Corrino IV,,Uprising,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Princess Irulan,,Uprising,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Archduke Armand Ecaz
",,Rise of Ix,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ilesa Ecaz
",,Rise of Ix,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lady Margot Fenring,,Uprising,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Baron Vladimir Harkonnen
",,Base,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Glossu “The Beast” Rabban 
",,Base,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feyd-Rautha Harkonnen,,Uprising,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lady Amber Metulli,,Uprising,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Princess Yuna Moritani
",,Rise of Ix,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Viscount Hundro Moritani
",,Rise of Ix,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Helena Richese,,Base,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Count Ilban Richese
",,Base,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Countess Ariana Thorvald 
",,Base,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Earl Memnon Thorvald
",,Base,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tessia Vernius
",,Rise of Ix,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prince Rhombur Vernius
",,Rise of Ix,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Staban Tuek,,Uprising,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Duncan Idaho,,Bloodlines,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chani,,Bloodlines,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piter de Vries,,Bloodlines,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Esmar Tuek,,Bloodlines,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steersman Y'rkoon,,Bloodlines,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Count Hasimir Fenring,,Bloodlines,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gaius Helen Mohiam,,Bloodlines,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liet Kynes,,Bloodlines,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kota Odax of Ix,,Bloodlines,Leader,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
